,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
63,tt1446714,Prometheus,Ridley Scott,Noomi Rapace,2012,"$126,464,904",R,7.0,"554,320",64
64,tt2294629,Frozen,Chris Buck,Kristen Bell,2013,"$400,736,600",PG,7.5,"551,637",75
65,tt3501632,Thor: Ragnarok,Taika Waititi,Chris Hemsworth,2017,N/A,PG-13,7.9,"542,938",74
66,tt0780504,Drive,Nicolas Winding Refn,Ryan Gosling,2011,"$34,300,000",R,7.8,"549,955",78
67,tt0948470,The Amazing Spider-Man,Marc Webb,Andrew Garfield,2012,"$262,030,663",PG-13,6.9,"543,434",66
68,tt0478970,Ant-Man,Peyton Reed,Paul Rudd,2015,"$138,002,223",PG-13,7.3,"540,523",64
69,tt3896198,Guardians of the Galaxy Vol. 2,James Gunn,Chris Pratt,2017,N/A,PG-13,7.6,"537,920",67
70,tt2527336,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,Mark Hamill,2017,"$619,117,636",PG-13,7.0,"532,835",85
71,tt3748528,Rogue One: A Star Wars Story,Gareth Edwards,Felicity Jones,2016,N/A,PG-13,7.8,"526,836",65
72,tt0451279,Wonder Woman,Patty Jenkins,Gal Gadot,2017,N/A,PG-13,7.4,"525,690",76
73,tt1276104,Looper,Rian Johnson,Joseph Gordon-Levitt,2012,"$66,305,045",R,7.4,"519,012",84
74,tt5013056,Dunkirk,Christopher Nolan,Fionn Whitehead,2017,N/A,PG-13,7.9,"511,831",94
75,tt1250777,Kick-Ass,Matthew Vaughn,Aaron Taylor-Johnson,2010,"$20,000,000",R,7.6,"513,537",66
76,tt1219289,Limitless,Neil Burger,Bradley Cooper,2011,"$79,230,923",PG-13,7.4,"511,865",59
77,tt1798709,Her,Spike Jonze,Joaquin Phoenix,2013,"$17,901,029",R,8.0,"510,311",90
78,tt2911666,John Wick,Chad Stahelski,Keanu Reeves,2014,N/A,R,7.4,"505,034",68
79,tt1232829,21 Jump Street,Phil Lord,Jonah Hill,2012,"$134,000,000",R,7.2,"494,267",69
80,tt3460252,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson,2015,"$54,116,191",R,7.8,"484,384",68
81,tt1318514,Rise of the Planet of the Apes,Rupert Wyatt,Andy Serkis,2011,"$175,300,000",PG-13,7.6,"485,801",68
82,tt1323594,Despicable Me,Pierre Coffin,Steve Carell,2010,"$251,476,985",PG,7.6,"484,778",72
83,tt2250912,Spider-Man: Homecoming,Jon Watts,Tom Holland,2017,"$334,166,825",PG-13,7.4,"478,341",73
84,tt3783958,La La Land,Damien Chazelle,Ryan Gosling,2016,N/A,PG-13,8.0,"472,106",94
85,tt1483013,Oblivion,Joseph Kosinski,Tom Cruise,2013,"$89,021,735",PG-13,7.0,"471,533",54
86,tt0945513,Source Code,Duncan Jones,Jake Gyllenhaal,2011,"$54,696,902",PG-13,7.5,"469,329",74
87,tt1298650,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,2011,"$241,063,875",PG-13,6.6,"465,510",45
88,tt7131622,Once Upon a Time... in Hollywood,Quentin Tarantino,Leonardo DiCaprio,2019,N/A,R,7.7,"462,778",83
89,tt1343092,The Great Gatsby,Baz Luhrmann,Lisa Adam,2013,"$144,812,796",PG-13,7.2,"456,854",55
90,tt5052448,Get Out,Jordan Peele,Daniel Kaluuya,2017,N/A,R,7.7,"453,492",85
91,tt2310332,The Hobbit: The Battle of the Five Armies,Peter Jackson,Ian McKellen,2014,"$187,747,747",PG-13,7.4,"456,504",59
92,tt1570728,"Crazy, Stupid, Love.",Glenn Ficarra,Steve Carell,2011,"$83,300,000",PG-13,7.4,"454,881",68
93,tt1663662,Pacific Rim,Guillermo del Toro,Charlie Hunnam,2013,"$101,785,482",PG-13,6.9,"454,815",65
94,tt1408101,Star Trek Into Darkness,J.J. Abrams,Chris Pine,2013,"$228,756,232",PG-13,7.7,"454,690",72
95,tt0926084,Harry Potter and the Deathly Hallows: Part 1,David Yates,Bill Nighy,2010,"$294,980,434",PG-13,7.7,"453,697",65
96,tt0470752,Ex Machina,Alex Garland,Domhnall Gleeson,2014,"$19,012,798",R,7.7,"448,743",78
97,tt1411697,The Hangover Part II,Todd Phillips,Bradley Cooper,2011,"$254,400,000",R,6.4,"450,093",44
98,tt5463162,Deadpool 2,David Leitch,Ryan Reynolds,2018,N/A,R,7.7,"444,684",66
99,tt1229238,Mission: Impossible - Ghost Protocol,Brad Bird,Tom Cruise,2011,"$209,364,921",PG-13,7.4,"443,423",73
100,tt1659337,The Perks of Being a Wallflower,Stephen Chbosky,Logan Lerman,2012,"$14,900,000",PG-13,8.0,"441,469",67
101,tt2872718,Nightcrawler,Dan Gilroy,Jake Gyllenhaal,2014,N/A,R,7.9,"436,220",76
102,tt1800241,American Hustle,David O. Russell,Christian Bale,2013,"$99,165,609",R,7.2,"434,133",90
103,tt1396484,It,Andy Muschietti,Jaeden Martell,2017,"$326,898,358",R,7.3,"429,602",69
104,tt1856101,Blade Runner 2049,Denis Villeneuve,Ryan Gosling,2017,N/A,R,8.0,"429,166",81
105,tt2872732,Lucy,Luc Besson,Scarlett Johansson,2014,"$108,521,370",R,6.4,"424,933",61
