,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
1269,tt2893490,Manglehorn,David Gordon Green,Al Pacino,2014,63602.0,PG-13,5.6,6851.0,56.0
1270,tt1678051,Soldiers of Fortune,Maxim Korostyshevsky,Christian Slater,2012,38842.0,R,4.3,6920.0,19.0
1271,tt4056738,Do You Believe?,Jon Gunn,Grifon Aldren,2015,9172156.0,PG-13,6.1,6751.0,22.0
1272,tt2720826,Birth of the Dragon,George Nolfi,Yu Xia,2016,6895695.0,PG-13,5.5,6779.0,35.0
1273,tt1706598,Every Secret Thing,Amy Berg,Diane Lane,2014,97020.0,R,6.1,6728.0,46.0
1274,tt2190367,Neighboring Sounds,Kleber Mendonça Filho,Ana Rita Gurgel,2012,29295.0,Unrated,7.2,6592.0,77.0
1275,tt2758904,Search Party,Scot Armstrong,Adam Pally,2014,3073.0,R,5.6,6590.0,22.0
1276,tt1965065,Save the Date,Michael Mohan,Lizzy Caplan,2012,3755.0,R,5.8,6635.0,54.0
1277,tt4919484,Little Men,Ira Sachs,Theo Taplitz,2016,702191.0,PG,6.7,6601.0,86.0
1278,tt1641975,Citadel,Ciarán Foy,James Cosmo,2012,10080.0,R,5.5,6574.0,60.0
1279,tt1305583,Our Family Wedding,Rick Famuyiwa,Forest Whitaker,2010,18602225.0,PG-13,5.0,6591.0,38.0
1280,tt1951216,The Look of Love,Michael Winterbottom,Jennifer Ellis,2013,217933.0,Not Rated,6.0,6459.0,57.0
1281,tt6003368,Diary of a Wimpy Kid: The Long Haul,David Bowers,Jason Drucker,2017,20737440.0,PG,4.3,6272.0,39.0
1282,tt1817676,Girl in Progress,Patricia Riggen,Eva Mendes,2012,2600000.0,PG-13,5.6,6396.0,45.0
1283,tt3268668,Captive,Jerry Jameson,Elle Graham,2015,1963974.0,PG-13,5.4,6295.0,36.0
1284,tt3422078,April and the Extraordinary World,Christian Desmares,Marion Cotillard,2015,294311.0,PG,7.3,6167.0,85.0
1285,tt1847746,The German Doctor,Lucía Puenzo,Alex Brendemühl,2013,414912.0,PG-13,6.7,6086.0,62.0
1286,tt1549589,Elles,Malgorzata Szumowska,Juliette Binoche,2011,157427.0,Unrated,5.6,6266.0,50.0
1287,tt1870529,Won't Back Down,Daniel Barnz,Maggie Gyllenhaal,2012,5308553.0,PG,6.4,6060.0,42.0
1288,tt4381236,The Greasy Strangler,Jim Hosking,Michael St. Michaels,2016,43580.0,Unrated,5.7,6081.0,58.0
1289,tt2488778,The Keeping Room,Daniel Barber,Brit Marling,2014,27166.0,R,6.0,6002.0,58.0
1290,tt2481198,Sunshine on Leith,Dexter Fletcher,Paul Brannigan,2013,157892.0,PG,6.6,6053.0,66.0
1291,tt1660379,House of Tolerance,Bertrand Bonello,Noémie Lvovsky,2011,19327.0,Not Rated,6.7,5830.0,75.0
1292,tt1233192,Brighton Rock,Rowan Joffe,Sam Riley,2010,223887.0,R,5.7,5981.0,57.0
